소비구분,시도구분,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월,2022년 01월,2022년 02월,2022년 03월,2022년 04월,2022년 05월,2022년 06월,2022년 07월,2022년 08월,2022년 09월,2022년 10월,2022년 11월,2022년 12월
캠핑장/펜션,부산광역시,1509,1395,1695,1084,1720,2994,3422,3858,2689,3428,3029,3181,1799,2677,3290,2901,2955,3260,4000,3909,12617,13407,19023,16607,16690,12249,10769,13510,25400,18802,22098,22119,12753,18371,12046,5055,4372,12202,3099,10739,17748,15250,13223,13907,12748,11835,8520,6171,7787,7249,6816,14928,12679,11291,22307,27048,13747,20829,8068,5192
캠핑장/펜션,서울특별시,1125,1402,1395,1572,1674,2983,1422,850,1775,1320,2938,1215,745,835,615,1095,1100,975,1000,660,820,1725,1726,1862,2429,6724,8798,7160,8504,7735,10637,8749,14775,11131,10962,9898,11641,335,138,1202,2071,1374,2479,3193,2137,593,380,1177,339,210,340,620,11390,11405,11830,13170,10815,13255,11150,15360
캠핑장/펜션,울산광역시,3354,1612,1775,1774,1949,1754,4234,5504,1294,2038,2459,1702,1281,4560,5726,6223,6727,2717,10416,9855,4608,6074,5910,3983,4832,3470,11773,7806,9423,4343,5323,8322,1501,3885,1909,3266,2043,1772,2647,0,3442,3563,8449,11781,6066,10264,5156,4115,4973,4343,3544,5095,9308,5212,5092,15838,4927,7190,8018,10710
캠핑장/펜션,인천광역시,14393,15661,22126,28940,25664,23316,27050,30878,23734,29864,21653,12829,14424,11603,15902,15330,16537,27175,27092,33856,18822,23568,34574,22537,16577,13414,24336,33965,55691,45180,55426,68234,33459,50216,33487,23320,20557,22821,27100,2552,61424,54879,40708,42792,39043,55007,50248,26613,27197,29408,31680,54300,66839,67390,62446,71558,68391,79657,43443,33197
캠핑장/펜션,전라남도,21711,19277,20978,25217,29568,28950,35111,43680,22674,27518,19759,22953,19036,25800,25906,31638,34482,25140,38084,54376,21031,27664,38249,41428,41239,32745,34419,36407,59245,47946,56616,116369,36150,61822,42506,29185,27210,43585,31604,33149,48921,57232,75833,103830,53405,59993,52393,38516,41790,49511,34923,60051,69355,70346,124381,151579,58957,73242,65383,50782
캠핑장/펜션,전라북도,26150,10506,8148,8929,18301,14974,22969,28502,12711,18576,15997,13112,13454,11959,9288,10916,17353,17968,20884,35577,13107,19280,23345,11395,19582,10546,10579,8141,21195,21514,27432,56452,13610,24572,19521,11934,17156,16629,13690,40513,20474,19141,32845,48339,17326,29168,22965,11012,17783,17742,8224,21867,23419,30854,44354,58576,19550,30652,18387,16947
캠핑장/펜션,제주특별자치도,21418,18750,22222,36057,56375,63155,64215,40376,26377,20856,19024,18937,22887,21207,13188,24501,28327,22622,32761,37197,22395,25473,34905,37788,32874,26562,28987,31675,40325,48175,54239,79322,37753,45300,41343,30479,23882,32805,34819,17731,47254,41036,64469,54575,31188,52920,51755,39597,43980,43097,30667,47409,61331,55511,56390,51086,34592,43581,25920,27594
캠핑장/펜션,충청남도,19324,16428,30863,33164,45614,40071,60545,76387,40387,37166,29173,32011,24418,22518,35909,35936,47321,50338,58981,87167,32549,44844,60666,53742,49266,29929,53324,88763,134304,110619,117399,160021,102905,124192,68225,50630,41391,63158,56959,59012,115070,85157,129780,164859,110885,130162,102300,85940,61541,57993,51250,110761,130879,134279,174417,182572,121349,149642,78846,59123
캠핑장/펜션,충청북도,4237,5674,8188,9417,14044,10927,22563,28861,7409,9104,6102,4424,5055,4368,10654,8542,12066,16949,19440,27913,8172,18044,14485,4383,2553,2785,5698,9495,19656,22162,25881,38235,15162,20877,9036,5254,2775,5327,6144,82670,16669,24413,26001,34021,17616,23972,15746,6953,4385,6466,3765,17892,20847,32942,35074,48193,25244,24784,13468,8073
기타숙박,강원도,4067593,3413822,3924758,4265118,4892180,4863449,6041857,8329756,4921908,4957831,4228332,5342597,5069995,4932716,4570868,4060263,4983371,5170171,6223156,8910732,4480738,5466085,4502713,5260987,4855888,3549389,2787196,3372027,4403924,4720725,5931282,8071941,3832470,5283942,4051591,3121930,2720322,3663406,3280305,11721,4796811,4966320,5988376,6378618,4469609,5558433,4642560,4297231,4771311,4017198,3241741,4402931,5343715,5725063,7235508,8464048,4974047,6141090,4468130,4431426
