기준년월,광역지자체,방문자 구분,방문자 수
201901,강원특별자치도,현지인방문자(a),2.4953618E7
201901,강원특별자치도,외지인방문자(b),1.0763655E7
201901,강원특별자치도,외국인방문자(c),159123.0
201902,강원특별자치도,현지인방문자(a),2.1481278E7
201902,강원특별자치도,외지인방문자(b),1.0695489E7
201902,강원특별자치도,외국인방문자(c),185085.0
201903,강원특별자치도,현지인방문자(a),2.597685E7
201903,강원특별자치도,외지인방문자(b),1.1195216E7
201903,강원특별자치도,외국인방문자(c),115407.0
201904,강원특별자치도,현지인방문자(a),2.4295838E7
201904,강원특별자치도,외지인방문자(b),8864328.0
201904,강원특별자치도,외국인방문자(c),165343.0
201905,강원특별자치도,현지인방문자(a),2.5478036E7
201905,강원특별자치도,외지인방문자(b),1.028825E7
201905,강원특별자치도,외국인방문자(c),100637.0
201906,강원특별자치도,현지인방문자(a),2.4517994E7
201906,강원특별자치도,외지인방문자(b),1.1405702E7
201906,강원특별자치도,외국인방문자(c),117235.0
201907,강원특별자치도,현지인방문자(a),2.2736497E7
201907,강원특별자치도,외지인방문자(b),1.3965038E7
201907,강원특별자치도,외국인방문자(c),128520.0
201908,강원특별자치도,현지인방문자(a),2.3980362E7
201908,강원특별자치도,외지인방문자(b),2.000221E7
201908,강원특별자치도,외국인방문자(c),123228.0
201909,강원특별자치도,현지인방문자(a),2.3046188E7
201909,강원특별자치도,외지인방문자(b),1.233989E7
201909,강원특별자치도,외국인방문자(c),121720.0
201910,강원특별자치도,현지인방문자(a),2.3705612E7
201910,강원특별자치도,외지인방문자(b),1.188529E7
201910,강원특별자치도,외국인방문자(c),192192.0
201911,강원특별자치도,현지인방문자(a),2.5983836E7
201911,강원특별자치도,외지인방문자(b),1.123177E7
201911,강원특별자치도,외국인방문자(c),170066.0
201912,강원특별자치도,현지인방문자(a),2.5864937E7
201912,강원특별자치도,외지인방문자(b),1.1121075E7
201912,강원특별자치도,외국인방문자(c),276060.0
201901,강원특별자치도,외부방문자(b+c),1.0922778E7
201902,강원특별자치도,외부방문자(b+c),1.0880574E7
201903,강원특별자치도,외부방문자(b+c),1.1310622E7
201904,강원특별자치도,외부방문자(b+c),9029670.0
201905,강원특별자치도,외부방문자(b+c),1.0388887E7
201906,강원특별자치도,외부방문자(b+c),1.1522937E7
201907,강원특별자치도,외부방문자(b+c),1.4093558E7
201908,강원특별자치도,외부방문자(b+c),2.0125437E7
201909,강원특별자치도,외부방문자(b+c),1.2461611E7
201910,강원특별자치도,외부방문자(b+c),1.2077481E7
201911,강원특별자치도,외부방문자(b+c),1.1401835E7
201912,강원특별자치도,외부방문자(b+c),1.1397135E7
201901,강원특별자치도,전체방문자(a+b+c),3.5876395E7
201902,강원특별자치도,전체방문자(a+b+c),3.2361852E7
201903,강원특별자치도,전체방문자(a+b+c),3.7287472E7
201904,강원특별자치도,전체방문자(a+b+c),3.3325508E7
201905,강원특별자치도,전체방문자(a+b+c),3.5866924E7
201906,강원특별자치도,전체방문자(a+b+c),3.6040931E7
201907,강원특별자치도,전체방문자(a+b+c),3.6830056E7
201908,강원특별자치도,전체방문자(a+b+c),4.4105799E7
201909,강원특별자치도,전체방문자(a+b+c),3.5507798E7
201910,강원특별자치도,전체방문자(a+b+c),3.5783093E7
201911,강원특별자치도,전체방문자(a+b+c),3.7385671E7
201912,강원특별자치도,전체방문자(a+b+c),3.7262072E7
