기준년월,광역지자체,방문자 구분,방문자 수
202201,강원특별자치도,현지인방문자(a),2.6663542E7
202201,강원특별자치도,외지인방문자(b),1.193317E7
202201,강원특별자치도,외국인방문자(c),2507.0
202202,강원특별자치도,현지인방문자(a),2.336753E7
202202,강원특별자치도,외지인방문자(b),9681742.0
202202,강원특별자치도,외국인방문자(c),2522.0
202203,강원특별자치도,현지인방문자(a),2.6789189E7
202203,강원특별자치도,외지인방문자(b),1.0240909E7
202203,강원특별자치도,외국인방문자(c),3314.0
202204,강원특별자치도,현지인방문자(a),2.6474108E7
202204,강원특별자치도,외지인방문자(b),1.1681436E7
202204,강원특별자치도,외국인방문자(c),5516.0
202205,강원특별자치도,현지인방문자(a),2.9452094E7
202205,강원특별자치도,외지인방문자(b),1.3157494E7
202205,강원특별자치도,외국인방문자(c),15611.0
202206,강원특별자치도,현지인방문자(a),2.8577738E7
202206,강원특별자치도,외지인방문자(b),1.2607371E7
202206,강원특별자치도,외국인방문자(c),21101.0
202207,강원특별자치도,현지인방문자(a),2.9719256E7
202207,강원특별자치도,외지인방문자(b),1.6093592E7
202207,강원특별자치도,외국인방문자(c),18411.0
202208,강원특별자치도,현지인방문자(a),2.885001E7
202208,강원특별자치도,외지인방문자(b),1.7695688E7
202208,강원특별자치도,외국인방문자(c),13550.0
202209,강원특별자치도,현지인방문자(a),2.8592844E7
202209,강원특별자치도,외지인방문자(b),1.3292566E7
202209,강원특별자치도,외국인방문자(c),18428.0
202210,강원특별자치도,현지인방문자(a),2.9595923E7
202210,강원특별자치도,외지인방문자(b),1.5159102E7
202210,강원특별자치도,외국인방문자(c),28246.0
202211,강원특별자치도,현지인방문자(a),2.939168E7
202211,강원특별자치도,외지인방문자(b),1.1238766E7
202211,강원특별자치도,외국인방문자(c),16788.0
202212,강원특별자치도,현지인방문자(a),2.8888293E7
202212,강원특별자치도,외지인방문자(b),1.0482426E7
202212,강원특별자치도,외국인방문자(c),27222.0
202201,강원특별자치도,외부방문자(b+c),1.1935677E7
202202,강원특별자치도,외부방문자(b+c),9684264.0
202203,강원특별자치도,외부방문자(b+c),1.0244223E7
202204,강원특별자치도,외부방문자(b+c),1.1686951E7
202205,강원특별자치도,외부방문자(b+c),1.3173105E7
202206,강원특별자치도,외부방문자(b+c),1.2628472E7
202207,강원특별자치도,외부방문자(b+c),1.6112002E7
202208,강원특별자치도,외부방문자(b+c),1.7709238E7
202209,강원특별자치도,외부방문자(b+c),1.3310994E7
202210,강원특별자치도,외부방문자(b+c),1.5187348E7
202211,강원특별자치도,외부방문자(b+c),1.1255554E7
202212,강원특별자치도,외부방문자(b+c),1.0509648E7
202201,강원특별자치도,전체방문자(a+b+c),3.8599219E7
202202,강원특별자치도,전체방문자(a+b+c),3.3051794E7
202203,강원특별자치도,전체방문자(a+b+c),3.7033412E7
202204,강원특별자치도,전체방문자(a+b+c),3.816106E7
202205,강원특별자치도,전체방문자(a+b+c),4.2625199E7
202206,강원특별자치도,전체방문자(a+b+c),4.120621E7
202207,강원특별자치도,전체방문자(a+b+c),4.5831258E7
202208,강원특별자치도,전체방문자(a+b+c),4.6559248E7
202209,강원특별자치도,전체방문자(a+b+c),4.1903838E7
202210,강원특별자치도,전체방문자(a+b+c),4.4783271E7
202211,강원특별자치도,전체방문자(a+b+c),4.0647235E7
202212,강원특별자치도,전체방문자(a+b+c),3.9397941E7
